revenue_feed_id,attribute_number,source_class_id,source_id,exclude_from_feed_boo,revenue_feed_src_attr_id,extraction_timestamp,date,history_date
1,5,15,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,35,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,6,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,34,NULL,F,326,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,2,NULL,F,414,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,8,NULL,F,59,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,34,NULL,F,331,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,35,NULL,F,414,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,8,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,34,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,41,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,46,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,3,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,14,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,26,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,35,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,39,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,46,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,28,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,30,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,13,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,15,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,16,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,18,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,27,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,30,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,33,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,41,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,45,NULL,F,458,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,7,2,NULL,F,35,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,7,4,NULL,F,35,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,7,5,NULL,F,35,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,1,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,3,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,6,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,23,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,28,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,30,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,40,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,3,2,NULL,F,38,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,3,4,NULL,F,38,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,3,6,NULL,F,73,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,2,1,NULL,F,24,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,2,14,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,3,14,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,3,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,8,NULL,F,455,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,9,NULL,F,455,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,11,NULL,F,455,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,34,NULL,F,455,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,6,NULL,F,453,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,9,NULL,F,453,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,4,10,NULL,F,454,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,4,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,34,NULL,F,346,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,6,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,9,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,26,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,8,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,10,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,26,NULL,F,97,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,7,NULL,F,48,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,8,NULL,F,48,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,11,NULL,F,48,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,26,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,6,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,26,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,34,NULL,F,328,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,2,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,3,27,NULL,F,104,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,4,34,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,5,26,NULL,F,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,31,NULL,F,325,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,6,5,NULL,F,261,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,7,12,NULL,F,259,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,2,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,8,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,34,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,35,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,3,NULL,F,413,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,1,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,3,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,8,NULL,F,25,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,8,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,15,NULL,F,84,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,34,NULL,F,346,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,8,2,NULL,F,416,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,8,34,NULL,F,330,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,9,2,NULL,F,11,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,9,3,NULL,F,11,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,9,8,NULL,F,11,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,26,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,14,6,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
